10 : 5 ; 7 ; 5 ; 5 ; 4 ; 4 ; 4 ; 5 ; 4 ; 6 ; 4 ; 6 ; 4 ; 5 ; 5 ; 6 ; 7 ; 4 ; 6 ; 4 ; 4 ; 5 ; 7 ; 6 ; 5 ; 6 ; 7 ; 5 ; 5 ; 4 ; 5 ; 5 ; 5 ; 7 ; 4 ; 6 ; 4 ; 5 ; 6 ; 6 ; 6 ; 7 ; 6 ; 5 ; 6 ; 7 ; 5 ; 5 ; 5 ; 6 ; 6 ; 8 ; 6 ; 5 ; 6 ; 6 ; 6 ; 4 ; 5 ; 5 ; 5 ; 6 ; 6 ; 4 ; 4 ; 7 ; 5 ; 6 ; 5 ; 7 ; 6 ; 5 ; 7 ; 5 ; 5 ; 5 ; 6 ; 5 ; 5 ; 8 ; 5 ; 5 ; 5 ; 5 ; 5 ; 6 ; 4 ; 4 ; 6 ; 5 ; 5 ; 4 ; 6 ; 4 ; 7 ; 4 ; 7 ; 5 ; 5 ; 5 ; 
35 : 14 ; 14 ; 12 ; 10 ; 17 ; 10 ; 9 ; 9 ; 10 ; 9 ; 13 ; 12 ; 10 ; 11 ; 13 ; 14 ; 19 ; 12 ; 10 ; 16 ; 10 ; 12 ; 11 ; 15 ; 14 ; 9 ; 12 ; 10 ; 9 ; 9 ; 12 ; 10 ; 13 ; 13 ; 10 ; 10 ; 9 ; 16 ; 11 ; 14 ; 10 ; 12 ; 14 ; 12 ; 11 ; 10 ; 11 ; 11 ; 13 ; 8 ; 11 ; 10 ; 15 ; 16 ; 13 ; 13 ; 14 ; 11 ; 9 ; 9 ; 11 ; 11 ; 10 ; 11 ; 9 ; 10 ; 12 ; 10 ; 9 ; 8 ; 12 ; 13 ; 10 ; 10 ; 10 ; 11 ; 11 ; 14 ; 11 ; 12 ; 12 ; 9 ; 12 ; 12 ; 13 ; 10 ; 16 ; 11 ; 11 ; 12 ; 12 ; 14 ; 11 ; 10 ; 13 ; 12 ; 13 ; 15 ; 16 ; 13 ; 
60 : 19 ; 14 ; 14 ; 17 ; 11 ; 14 ; 16 ; 16 ; 22 ; 17 ; 13 ; 13 ; 16 ; 12 ; 15 ; 19 ; 14 ; 21 ; 17 ; 17 ; 14 ; 20 ; 15 ; 13 ; 13 ; 15 ; 14 ; 13 ; 19 ; 13 ; 11 ; 16 ; 13 ; 14 ; 19 ; 16 ; 20 ; 16 ; 14 ; 15 ; 16 ; 12 ; 15 ; 12 ; 13 ; 16 ; 16 ; 16 ; 13 ; 21 ; 14 ; 13 ; 15 ; 15 ; 17 ; 12 ; 13 ; 9 ; 21 ; 13 ; 24 ; 15 ; 17 ; 19 ; 12 ; 24 ; 12 ; 13 ; 15 ; 15 ; 20 ; 14 ; 13 ; 22 ; 16 ; 13 ; 13 ; 18 ; 19 ; 18 ; 14 ; 15 ; 11 ; 16 ; 12 ; 13 ; 13 ; 10 ; 11 ; 9 ; 13 ; 13 ; 14 ; 23 ; 15 ; 13 ; 22 ; 15 ; 17 ; 14 ; 
85 : 17 ; 19 ; 22 ; 15 ; 12 ; 14 ; 14 ; 15 ; 16 ; 15 ; 15 ; 15 ; 18 ; 17 ; 17 ; 21 ; 22 ; 26 ; 17 ; 14 ; 20 ; 17 ; 19 ; 17 ; 16 ; 12 ; 14 ; 21 ; 19 ; 14 ; 22 ; 15 ; 18 ; 14 ; 18 ; 20 ; 20 ; 13 ; 24 ; 16 ; 16 ; 24 ; 21 ; 17 ; 18 ; 19 ; 15 ; 14 ; 20 ; 13 ; 18 ; 20 ; 14 ; 22 ; 21 ; 15 ; 19 ; 20 ; 16 ; 12 ; 15 ; 26 ; 23 ; 18 ; 23 ; 13 ; 20 ; 23 ; 20 ; 17 ; 17 ; 21 ; 18 ; 13 ; 14 ; 17 ; 19 ; 19 ; 20 ; 28 ; 20 ; 18 ; 18 ; 22 ; 22 ; 15 ; 16 ; 19 ; 23 ; 18 ; 16 ; 19 ; 14 ; 19 ; 21 ; 22 ; 16 ; 18 ; 12 ; 22 ; 
110 : 25 ; 22 ; 25 ; 14 ; 17 ; 16 ; 28 ; 28 ; 26 ; 19 ; 23 ; 22 ; 31 ; 15 ; 23 ; 22 ; 14 ; 20 ; 15 ; 17 ; 21 ; 15 ; 16 ; 25 ; 23 ; 20 ; 21 ; 13 ; 19 ; 18 ; 24 ; 15 ; 21 ; 16 ; 15 ; 15 ; 27 ; 24 ; 23 ; 25 ; 14 ; 16 ; 17 ; 14 ; 19 ; 20 ; 29 ; 22 ; 13 ; 18 ; 30 ; 21 ; 17 ; 20 ; 15 ; 25 ; 19 ; 28 ; 19 ; 16 ; 20 ; 17 ; 17 ; 19 ; 17 ; 24 ; 25 ; 16 ; 17 ; 22 ; 19 ; 25 ; 20 ; 11 ; 16 ; 27 ; 17 ; 23 ; 22 ; 22 ; 19 ; 17 ; 18 ; 34 ; 16 ; 24 ; 24 ; 14 ; 20 ; 31 ; 17 ; 20 ; 25 ; 22 ; 20 ; 19 ; 27 ; 22 ; 19 ; 19 ; 
135 : 24 ; 26 ; 18 ; 18 ; 26 ; 26 ; 18 ; 19 ; 27 ; 22 ; 30 ; 24 ; 20 ; 21 ; 17 ; 24 ; 17 ; 19 ; 19 ; 24 ; 28 ; 29 ; 24 ; 21 ; 33 ; 22 ; 25 ; 19 ; 28 ; 17 ; 23 ; 19 ; 18 ; 22 ; 24 ; 25 ; 21 ; 23 ; 23 ; 21 ; 19 ; 20 ; 27 ; 21 ; 36 ; 27 ; 23 ; 26 ; 15 ; 27 ; 19 ; 21 ; 19 ; 19 ; 14 ; 29 ; 24 ; 33 ; 20 ; 16 ; 15 ; 26 ; 28 ; 32 ; 27 ; 25 ; 33 ; 20 ; 31 ; 24 ; 19 ; 20 ; 26 ; 23 ; 22 ; 21 ; 19 ; 27 ; 26 ; 28 ; 29 ; 22 ; 20 ; 21 ; 21 ; 21 ; 22 ; 22 ; 19 ; 19 ; 20 ; 18 ; 22 ; 18 ; 23 ; 25 ; 27 ; 20 ; 21 ; 17 ; 
160 : 25 ; 33 ; 30 ; 26 ; 19 ; 21 ; 23 ; 24 ; 25 ; 26 ; 23 ; 16 ; 22 ; 24 ; 23 ; 20 ; 31 ; 21 ; 19 ; 21 ; 18 ; 33 ; 36 ; 26 ; 24 ; 15 ; 27 ; 22 ; 28 ; 17 ; 16 ; 24 ; 24 ; 23 ; 23 ; 17 ; 19 ; 37 ; 15 ; 23 ; 22 ; 23 ; 31 ; 18 ; 27 ; 25 ; 18 ; 21 ; 23 ; 26 ; 24 ; 21 ; 33 ; 19 ; 26 ; 19 ; 25 ; 26 ; 32 ; 24 ; 15 ; 29 ; 19 ; 28 ; 30 ; 23 ; 19 ; 24 ; 23 ; 30 ; 19 ; 19 ; 27 ; 24 ; 25 ; 26 ; 29 ; 16 ; 24 ; 21 ; 20 ; 18 ; 28 ; 18 ; 35 ; 18 ; 22 ; 21 ; 29 ; 27 ; 33 ; 25 ; 29 ; 22 ; 27 ; 21 ; 37 ; 24 ; 23 ; 20 ; 
185 : 23 ; 20 ; 28 ; 35 ; 32 ; 27 ; 30 ; 25 ; 27 ; 26 ; 22 ; 23 ; 20 ; 21 ; 25 ; 16 ; 25 ; 32 ; 23 ; 27 ; 23 ; 21 ; 21 ; 25 ; 16 ; 20 ; 21 ; 28 ; 20 ; 30 ; 23 ; 29 ; 23 ; 21 ; 29 ; 36 ; 34 ; 20 ; 25 ; 28 ; 32 ; 28 ; 23 ; 30 ; 21 ; 28 ; 27 ; 17 ; 27 ; 31 ; 24 ; 23 ; 25 ; 26 ; 25 ; 18 ; 19 ; 21 ; 39 ; 20 ; 27 ; 26 ; 28 ; 25 ; 24 ; 28 ; 28 ; 32 ; 35 ; 23 ; 25 ; 20 ; 21 ; 19 ; 21 ; 19 ; 23 ; 22 ; 29 ; 17 ; 22 ; 25 ; 30 ; 19 ; 21 ; 26 ; 29 ; 24 ; 25 ; 35 ; 26 ; 32 ; 19 ; 25 ; 22 ; 24 ; 19 ; 22 ; 21 ; 19 ; 
210 : 27 ; 22 ; 26 ; 21 ; 24 ; 26 ; 23 ; 35 ; 41 ; 25 ; 22 ; 26 ; 26 ; 29 ; 25 ; 25 ; 43 ; 18 ; 37 ; 25 ; 37 ; 22 ; 34 ; 21 ; 32 ; 23 ; 28 ; 36 ; 24 ; 25 ; 30 ; 26 ; 33 ; 24 ; 34 ; 33 ; 22 ; 18 ; 31 ; 22 ; 25 ; 23 ; 23 ; 19 ; 25 ; 27 ; 21 ; 31 ; 25 ; 23 ; 19 ; 19 ; 24 ; 30 ; 28 ; 24 ; 26 ; 25 ; 31 ; 24 ; 27 ; 25 ; 20 ; 26 ; 22 ; 32 ; 28 ; 22 ; 25 ; 34 ; 31 ; 27 ; 20 ; 27 ; 25 ; 24 ; 27 ; 19 ; 27 ; 20 ; 34 ; 18 ; 26 ; 29 ; 27 ; 25 ; 32 ; 26 ; 27 ; 23 ; 30 ; 34 ; 25 ; 31 ; 23 ; 28 ; 30 ; 24 ; 31 ; 20 ; 
235 : 22 ; 27 ; 20 ; 27 ; 31 ; 31 ; 20 ; 28 ; 27 ; 36 ; 15 ; 21 ; 28 ; 42 ; 35 ; 26 ; 30 ; 32 ; 26 ; 33 ; 19 ; 25 ; 22 ; 20 ; 26 ; 30 ; 28 ; 26 ; 34 ; 24 ; 34 ; 23 ; 38 ; 28 ; 28 ; 28 ; 33 ; 24 ; 33 ; 29 ; 30 ; 27 ; 23 ; 24 ; 24 ; 35 ; 20 ; 24 ; 31 ; 25 ; 21 ; 34 ; 31 ; 31 ; 34 ; 25 ; 23 ; 35 ; 22 ; 31 ; 36 ; 26 ; 32 ; 20 ; 21 ; 25 ; 28 ; 39 ; 27 ; 26 ; 26 ; 30 ; 32 ; 31 ; 20 ; 26 ; 18 ; 33 ; 21 ; 28 ; 23 ; 30 ; 35 ; 24 ; 28 ; 27 ; 33 ; 33 ; 28 ; 20 ; 27 ; 30 ; 31 ; 22 ; 31 ; 28 ; 21 ; 32 ; 30 ; 32 ; 
